(0.35787240888011196, [[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [-2.0637788353261577e-16, 4.971978773138375e-16, -3.9280917494416434e-16]])
(0.35787234921737704, [[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.09716475793552833, -417.45913558661135, -543.6397164777911]])
(114.90372771254899, [[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [-959.0673651132731, -82.80141689973769, -1109.5910779467201]])
(0.35659472720125596, [[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [-0.024803137667219623, -0.00887651337449738, -0.010059871395770827]])
(0.35556693365800734, [[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.006753514071652053, -0.010765628579282503, -0.00998741368452246]])
(0.35474405240602097, [[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0027537421594391784, -0.010052069340495039, -0.007990084368760808]])
(0.3540851930772879, [[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0008692252045089808, -0.008464315249510829, -0.005919017979016991]])
(0.3536004485232798, [[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [-0.0001761327435617629, -0.006985250216205649, -0.004251597696602785]])
(0.35324596442181205, [[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [-0.0008207723226828975, -0.005819300865877369, -0.0030177999874436146]])
(0.35298168184650075, [[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [-0.0012539341580781191, -0.0049387255306863435, -0.0021313965718512407]])
(0.3527792870779494, [[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [-0.0015581276549753425, -0.004282744738298896, -0.0014938089666006876]])
(0.3526200004415323, [[0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [0.0, 0.0, 0.0], [-0.0017804019675663342, -0.0037935900573868135, -0.001031938717505794]])
